"","P2_T11_noStroma_noAraC","P2_T12_noStroma_AraC","P2_T15_Stroma_noAraC","P2_T16_Stroma_AraC"
"GMP-like AML blasts",1190,59,837,26
"HSPC / LSC-like blasts",395,356,487,341
"Promono-like / quiescent myeloid",25,79,429,617
"Unclassified (low-quality?)",86,191,211,284
"Mono-like AML",308,173,218,46
"CD16+ Mono / macrophage",7,692,5,4
"Stress-response myeloid",28,482,42,29
"ABCB5+ resistant primitive AML",14,462,2,10
"Unclassified niche-related",482,1,3,0
"B cells",101,181,72,112
"BM endothelial",130,102,110,70
"T cells",141,116,53,10
"HS5 stromal / MSC",0,1,62,220
"Eosinophils / basophils",92,17,108,19
