	GMP-like	HSC-like	Myeloid-like	Unassigned
GMP-like AML blasts	981	207	10	914
HSPC / LSC-like blasts	319	203	224	833
Promono-like / quiescent myeloid	19	98	881	152
Unclassified (low-quality?)	65	291	0	416
Mono-like AML	50	80	186	429
CD16+ Mono / macrophage	6	7	690	5
Stress-response myeloid	128	52	55	346
ABCB5+ resistant primitive AML	1	16	18	453
Unclassified niche-related	2	42	261	181
B cells	25	214	0	227
BM endothelial	39	295	20	58
T cells	15	220	1	84
HS5 stromal / MSC	158	10	0	115
Eosinophils / basophils	43	73	1	119
