signature	delta	p_value	p_adj
S.Score	-0.339517625231911	0.0304285312014972	0.136928390406737
G2M.Score	-0.271799628942486	0.0831739677562228	0.202712032170857
UCell_arac_metabolism	-0.380643166357452	0.0152316691768698	0.136928390406737
UCell_mdr_efflux	0.2639146567718	0.0900942365203811	0.202712032170857
UCell_aldh_resistance	-0.0711193568336426	0.335526443499149	0.431391141641763
UCell_lsc17	0.193413729128015	0.217709814008848	0.326564721013272
UCell_bcl2_family_pro_survival	0.0338589981447124	0.82817829642297	0.93052191107595
UCell_bcl2_family_pro_apoptotic	0.136363636363636	0.140172074761699	0.252309734571058
UCell_isr_atf4_targets	-0.012987012987013	0.93052191107595	0.93052191107595
