cell_type_final	condition	Phase	n	prop
HSPC / LSC-like AML	Conventional	G1	262	0.663291139240506
HSPC / LSC-like AML	Conventional	S	66	0.167088607594937
HSPC / LSC-like AML	Conventional	G2M	67	0.169620253164557
HSPC / LSC-like AML	Co-culture	G1	383	0.786447638603696
HSPC / LSC-like AML	Co-culture	S	51	0.104722792607803
HSPC / LSC-like AML	Co-culture	G2M	53	0.108829568788501
GMP-like AML	Conventional	G1	25	0.0210084033613445
GMP-like AML	Conventional	S	708	0.594957983193277
GMP-like AML	Conventional	G2M	457	0.384033613445378
GMP-like AML	Co-culture	G1	93	0.111111111111111
GMP-like AML	Co-culture	S	501	0.598566308243728
GMP-like AML	Co-culture	G2M	243	0.290322580645161
Promono quiescent AML	Conventional	G1	25	1
Promono quiescent AML	Co-culture	G1	416	0.96969696969697
Promono quiescent AML	Co-culture	S	6	0.013986013986014
Promono quiescent AML	Co-culture	G2M	7	0.0163170163170163
Mono-like AML	Conventional	G1	153	0.496753246753247
Mono-like AML	Conventional	S	59	0.191558441558442
Mono-like AML	Conventional	G2M	96	0.311688311688312
Mono-like AML	Co-culture	G1	137	0.628440366972477
Mono-like AML	Co-culture	S	31	0.142201834862385
Mono-like AML	Co-culture	G2M	50	0.229357798165138
Stress-response AML	Conventional	G1	5	0.178571428571429
Stress-response AML	Conventional	S	9	0.321428571428571
Stress-response AML	Conventional	G2M	14	0.5
Stress-response AML	Co-culture	G1	5	0.119047619047619
Stress-response AML	Co-culture	S	18	0.428571428571429
Stress-response AML	Co-culture	G2M	19	0.452380952380952
