cluster	contrast_id	contrast	n_cells_g1	n_cells_g2	n_up_in_g1	n_dn_in_g1	top_up_g1	top_up_g2
(special)	S1	Niche-stressed primitive AML vs HSPC/LSC-like AML (conv)	483	751	3854	673	SLCO2B1, MYO1E, DTNA, FMN1, FCGR2C	EEF1A1, SRGN, ADGRL3, RPLP1, RPS2
(special)	S2	HSPC/LSC-like AML vs GMP-like AML (all)	1579	2112	1129	3667	NRG1, RNF220, MALAT1, NEAT1, KCNH7	APP, MPO, CCDC26, MKI67, RRM2
GMP-like AML	C1	Coc_Unt vs Conv_Unt	837	1190	514	590	RALGAPA2, RPS8, AHRR, EEF1A1, RPL11	MT-ND5, SPP1, MT-ND4L, MT-CO1, MT-CO3
GMP-like AML	C2	Coc_AraC vs Conv_AraC	26	59	0	3		MT1G, MT1H, MPO
GMP-like AML	C3	Conv_AraC vs Conv_Unt	59	1190	215	73	FTH1, FAM111B, CR1, TP73, FTL	MPO, PRTN3, KCNQ5, HSP90B1, PTMA
GMP-like AML	C4	Coc_AraC vs Coc_Unt	26	837	84	26	CYP3A5, ZMYND15, CD70, LINC00861, CCR7	KCNQ5, MPO, ELANE, ATP8B4, PRTN3
HSPC / LSC-like AML	C1	Coc_Unt vs Conv_Unt	487	395	121	666	FTH1, NAMPT, EPB41L3, TBL1X, TXNIP	SRGN, LYZ, MT-CO1, AZU1, SPP1
HSPC / LSC-like AML	C2	Coc_AraC vs Conv_AraC	341	356	75	840	NAMPT, EPB41L3, TXNIP, TBL1X, PLSCR1	MT1G, MT1H, MT-CO1, LYZ, TMSB4X
HSPC / LSC-like AML	C3	Conv_AraC vs Conv_Unt	356	395	286	62	FTH1, FTL, GPX1, TYROBP, B2M	MPO, MT-ND4L, MT-ND3, PRTN3, MT-ND5
HSPC / LSC-like AML	C4	Coc_AraC vs Coc_Unt	341	487	36	16	B2M, FTL, FTH1, IFITM3, S100A11	MPO, PDE4D, RPS6, EEF1A1, KCNQ5
Mono-like AML	C1	Coc_Unt vs Conv_Unt	218	308	56	301	FTH1, EPB41L3, TXNIP, MALAT1, PCNX1	SPP1, FOS, MT1G, MPO, MT-ND4L
Mono-like AML	C2	Coc_AraC vs Conv_AraC	46	173	12	45	TXNIP, AHRR, EPB41L3, PLSCR1, TBL1X	MT1G, FTL, SPP1, MT1H, CSTB
Mono-like AML	C3	Conv_AraC vs Conv_Unt	173	308	169	140	FTH1, FTL, CSTB, AIF1, TYROBP	MPO, KCNQ5, PRTN3, PRKCB, MKI67
Mono-like AML	C4	Coc_AraC vs Coc_Unt	46	218	5	0	B2M, FTH1, FUCA1, IFI6, PRRX1	
Promono quiescent AML	C1	Coc_Unt vs Conv_Unt	429	25	21	201	FTH1, EPB41L3, SLC44A1, CXCL5, SIPA1L1	LINC01283, LINC01010, DKK2, LINC02542, DOCK3
Promono quiescent AML	C2	Coc_AraC vs Conv_AraC	617	79	89	1366	SIPA1L1, SLC44A1, EPB41L3, SLC16A10, IL1RN	SLAMF7, MT1G, MT1H, CYBB, RPLP1
Promono quiescent AML	C3	Conv_AraC vs Conv_Unt	79	25	47	24	FTH1, IFI30, S100A11, ARPC3, CALM1	FNDC3B, ASH1L, XIST, VPS13B, MRTFA
Promono quiescent AML	C4	Coc_AraC vs Coc_Unt	617	429	246	325	B2M, GAPDH, S100A11, FTL, IFI30	NEAT1, FCGR2C, AHNAK, EPB41L3, SIPA1L1
Stress-response AML	C1	Coc_Unt vs Conv_Unt	42	28	1	1	FTH1	CTSB
Stress-response AML	C2	Coc_AraC vs Conv_AraC	29	482	61	11	TFPI2, MMP3, MAP1B, FST, SERPINE1	MT1G, MT1H, SPP1, TMSB4X, MT-CO3
Stress-response AML	C3	Conv_AraC vs Conv_Unt	482	28	12	108	FTH1, FTL, CSTB, GPX1, SPP1	MPO, HBB, NFIA, HBA1, HBG1
Stress-response AML	C4	Coc_AraC vs Coc_Unt	29	42	0	0		
