cell_type_final	lineage	n_conv	n_coc	delta	p_value	p_adj
ABCB5+ resistant LSC AML	Lineage1	476	12	-0.80234593837535	2.04799779499421e-06	3.41332965832369e-06
Stress-response AML	Lineage1	510	71	-0.797983982325325	1.08817852046077e-27	5.44089260230385e-27
GMP-like AML	Lineage1	1249	863	0.215586606017143	3.15119982923964e-17	7.87799957309911e-17
Mono-like AML	Lineage1	481	264	-0.157200907200907	0.000381995005094724	0.000381995005094724
HSPC / LSC-like AML	Lineage1	751	828	0.109510990177348	0.000167654772282955	0.000209568465353693
Promono quiescent AML	Lineage1	3	17	NA	NA	NA
Niche-stressed primitive AML	Lineage1	75	0	NA	NA	NA
Stress-response AML	Lineage2	510	70	-0.876386554621849	9.21387367018777e-33	4.60693683509388e-32
ABCB5+ resistant LSC AML	Lineage2	476	12	-0.805322128851541	1.87672022064477e-06	2.34590027580597e-06
GMP-like AML	Lineage2	27	19	-0.674463937621832	0.000116753061958787	0.000116753061958787
Promono quiescent AML	Lineage2	104	1046	-0.365274305044859	7.72134330648498e-10	1.28689055108083e-09
HSPC / LSC-like AML	Lineage2	751	827	-0.26207217462569	1.99416384963867e-19	4.98540962409667e-19
Mono-like AML	Lineage2	4	3	NA	NA	NA
Niche-stressed primitive AML	Lineage2	75	0	NA	NA	NA
ABCB5+ resistant LSC AML	Lineage3	476	12	-0.46078431372549	0.00639691587194867	0.00639691587194867
GMP-like AML	Lineage3	1	0	NA	NA	NA
Promono quiescent AML	Lineage3	2	0	NA	NA	NA
Stress-response AML	Lineage3	6	0	NA	NA	NA
Niche-stressed primitive AML	Lineage3	483	3	NA	NA	NA
