cell_type_final	lineage	n	mean_pst	median_pst	sd_pst
Niche-stressed primitive AML	Lineage1	75	22.6661791395898	22.9936563282119	4.81966419706581
ABCB5+ resistant LSC AML	Lineage1	488	24.6838436194078	25.1667658644669	6.48233949616023
Stress-response AML	Lineage1	581	57.4631180935648	58.6676462994679	7.16116716230489
Promono quiescent AML	Lineage1	20	61.6239866573497	63.8408870480682	5.94721789591648
HSPC / LSC-like AML	Lineage1	1579	63.5792548029492	63.8408870480682	4.75740683304068
GMP-like AML	Lineage1	2112	74.2787992655271	75.1348046063211	5.86197892494013
Mono-like AML	Lineage1	745	81.3013178142125	91.4250379128353	19.5482154648717
Niche-stressed primitive AML	Lineage2	75	22.6653713303389	22.9665279793718	4.81946199566159
ABCB5+ resistant LSC AML	Lineage2	488	24.8566894412659	25.1531926304397	7.42969762561137
Stress-response AML	Lineage2	580	56.9395408530197	58.5924787183477	6.63296726873032
GMP-like AML	Lineage2	46	59.1286694544197	62.335039568587	8.82911001647186
Mono-like AML	Lineage2	7	62.5614782308079	60.2873691305172	3.95250440798554
HSPC / LSC-like AML	Lineage2	1578	65.8759988050218	65.2147560536342	3.63666869736334
Promono quiescent AML	Lineage2	1150	87.1784182888829	88.3211874283371	10.9024752242409
ABCB5+ resistant LSC AML	Lineage3	488	25.1421274099354	25.5980508991722	6.91013962661561
Stress-response AML	Lineage3	6	29.1342782183593	29.9715984632807	3.0647813434849
GMP-like AML	Lineage3	1	33.2833752670174	33.2833752670174	NA
Niche-stressed primitive AML	Lineage3	486	37.3159753333721	40.717100763118	11.3801306102163
Promono quiescent AML	Lineage3	2	44.7138654220433	44.7138654220433	7.2103013778104
